"C#","Format","Card Name","Archetype","A+-","A","P","P+-","R","HP","Heroic","Slow","Silence","Disarm","Hidden Types","Mechanics","Flavor","Artist","UUID","Colorpip 1","Colorpip 2","Season tag","CardType","SecondCardUUID"
"261","Feat","Explode","","","0","2","-","2","","","","Silence","","Ability - Trait","Remove target {Terrain} token, then deal 4 damage to each enemy {near} that tile.","It's a pastime of yours that quickly spiraled out of hand.","Septimius Ferdian","952a79ad4539440b832539d40bfce52f","Red","","S1","",""
"262","Feat","Spellwake","","","","","","","","","","","","Passive - Trait","After you {Second Wind}, deal 5 damage to each opponent. This can't reduce opponents below 1 HP.","You scream. Fire and fury grasps all around you!","Wasan Techawibulchai","6e0f1b19763148f29937f8fa6d5dea8e","Red","","S1","",""
"263","Feat","Unbound","","","","","","","","","","","","Passive - Trait","After you resolve an {Attack} card targeting an enemy, you may discard an {Ability} card. If you do, deal 2 more damage to them.","Your flame shan't fade until your dying breath!","Wasan Techawibulchai","3cf6155964ba4995b0b826cd1864d74a","Red","","S1","",""
"264","Feat","Prodigy","","","","","","","","","","","","Passive - Trait","Your max [p] is increased by two. At the start of your first turn, gain [p] [p].","Magic has always come naturally to you. Like a moth to the flame.","Septimius Ferdian","b473ee47a387400a8d161c58bacc144b","Red","Red","S1","",""
"265","Feat","Crystal Ball","","","0","3","-","","","","","Silence","","Ability - Trait","Gain [n] for each [n] you have. {Crystal Ball} can cause you to exceed your max [n].","Travellers come from far and wide to divine their future from you.","Alexandra Schastlivaya","32d2285b64f449a687b7f1c1fc0cd424","Blue","","S1","",""
"266","Feat","Counter Magic","","","","","","","","","","","","Passive - Trait","After an enemy card fails to resolve, deal 2 damage to them.","Reactive magic is your forte, and you've honed a unique style around it.","Wojciech Depczyński","d2de2a9b4235499e8dad8d893af14c61","Blue","","S1","",""
"267","Feat","Ponder","","-","1","1","+","","","","","Silence","","Ability - Trait","Look at the bottom card of your deck. Choose one: - Put that card on top of your deck. - Put that card into your discard.","Your erudition is as much a blessing as it is a curse.","Septimius Ferdian","42393e68d3f844f885e60d160c01a4d8","Blue","","S1","",""
"268","Feat","Spellbook","","","0","1","-","","","","","Silence","","Ability - Trait","Put a random card under {Spellbook} into your hand. During character creation, put three unique {Archmage} cards facedown underneath {Spellbook}. <(You may put up to two of each of those cards into your deck.)> ","You 'borrowed' this from the Academy Vault. Who knows what wonders it holds?","Alexandra Schastlivaya","0d4ff1a9d0be4899b55b2c726da047a4","Blue","","S1","",""
"269","Feat","Timerunner","","","","","","","","","","","","Passive - Trait","At the start of your first turn, add two {Teleports} to your hand. <(If you're a wizard, you may put up to one Teleport in your deck.)>","You've forgotten what it's like to exist in one timestream alone.","Lucas Torquato","45b24f11ebc54f539f0b499fa0669a70","Blue","","S1","","4708ac9c7a4245fcb17257a0ebbee3db"
"270","Feat","Distortion","","","","","","","","","","","","Passive - Trait","After you {Silence} [i] an opponent, deal 1 damage to them.","The Ley twists and bends to your will unlike any before you.","Wasan Techawibulchai","9237d3a76ce94359a4cc757bfc96a6da","Blue","Blue","S1","",""
"283","Feat","Strive for Glory","","","","","","","","","","","","Passive - Trait","When you have no cards in your hand and aren't {Exhausted}, draw a card and put the top card of your deck into your discard.","Battle is where you shall find glory, no matter what your Chapter preaches!","Wasan Techawibulchai","09cb06b1654d4acfbb80c8103c533dbf","White","Gray","S1","",""
"285","Feat","Majesty","","","","","","","","","","","","Passive - Trait","After you enter {Terrain} for the first time during your turn, {Stun} each opponent. <(They each lose a resource of their choice.)>","Your grace is effortless, but it inspires awe nonetheless.","Wasan Techawibulchai","f7cb46d05dff417cb4210d36698a5160","White","Red","S1","",""
"286","Feat","Dream","","-","1","1","+","3","","","","Silence","Disarm","Ability Attack - Trait","Target opponent puts the {bottom} card of their deck into their discard, then deal damage to them equal to that card's {resource} cost.","Your dreams are beautiful, but you sometimes worry that you may never wake.","Septimius Ferdian","035fc45b43974ba8b5728546fc6cff13","Blue","Green","S1","",""
"309","Feat","On Your Feet","","","","","","","","","","","","Passive - Trait","After an opponent uses their {Second Wind}, gain [a] [p] [p] and end your turn. {On Your Feet} can cause you to exceed your max [p].","""Our business here is yet unfinished.""","Septimius Ferdian","0a2d15ae52b148f3a77b2c6177d75b00","White","","S1 Make a Trait","",""
"310","Feat","Indecisive","","","","","","","","","","","","Passive - Trait","{Indecisive} is a copy of an opponent's {Trait} of your choice.","""Hmm... or... ?""","Septimius Ferdian","4228e5c14d304fb79e650ae49756d324","Red","","S1 Make a Trait","",""
"311","Feat","Hand Wave","","","0","2","-","2","","","","Silence","","Ability - Trait","{Reattach} target card {Attached} to a tile to another empty tile {near} it.","""Your realm? I think not.""","Septimius Ferdian","20ecdfa1e9104d02b04d69a79e9e37b7","Blue","","S1 Make a Trait","",""
"4","Feat","Mute","","","0","3","-","2","","","","Silence","Disarm","Debuff Ability - Trait","{Charged} [charge] {Silence 4} [i] target opponent. This can cause them to exceed their max [i] and if it does, {Stun} them.","You execute the Emperor's Words with the swiftness and severity He intends.","Wasan Techawibulchai","62f1074352b94fccae269648e0a6b84c","Blue","Blue","Trait Pack 1","",""
"5","Feat","Nurture","","","0","1","-","","","","","Silence","","Ability - Trait","Look at the top three cards of your deck. You may {Reveal} an {Attach} card from among them, put it into your hand and the rest into your discard.","The Great Spirits heed your call, offering both advice and succor.","Wasan Techawibulchai","1a5e46ef7f76410e93c168236cb26991","Green","Green","Trait Pack 1","",""
"6","Feat","Third Wind","","","","","","","","","","","","Passive - Trait","If you would be reduced to 10 or less HP for the first time during the game, you are instead reduced to 10 HP and you {Second Wind} again.","It is the mind that will betray the body. The body will never betray the mind.","Anderton Oliveira","0ebb39363dbc4979b4ac7dac7d9786b7","Gray","Gray","Trait Pack 1","",""
"8","Feat","Inami's Verdict","","-","2","2","-","1","","","","","Disarm","Attack - Trait","{Charged} [charge] {Reach} <(This card considers tiles diagonal to you as nearby.)> Deal 12 damage to target enemy.","Samurai At the end of the Many-Blossomed Path, the Verdict remains as poignant as ever.","Dharm Kalsa","2dbea205934242a2ba431881dbed719b","White","Red","Trait Pack 1","",""
"","Feat","Flash","","","0","1","-","","","","Slow","Silence","","Instant Ability - Trait","{Charged} [charge] [charge] You may play a card targeting an opponent.","The greedy liars of the Merchant's Council are too busy counting coins for redemption.","Thomas Dumey","ca98f0b8476c49b1837b9cd4e1112d32","White","Blue","Trait Pack 1","",""
"","Feat","Meditate","","+","2","2","+","","","","","","","Ability - Trait","{Charged} [charge] Discard all but three cards from your hand, then end your turn.","At these peaks, not the Enlightened Halls, the most auspicious calm is found.","Anderton Oliveira","c128416b5ba8477caa3bb55ddb29dade","White","Green","Trait Pack 1","",""
"14","Feat","Aphasia","","-","1","1","+","2","","","","","Disarm","Debuff - Trait","{Charged} [charge] [charge] [charge] {Silence 2} [i] target opponent.","You whisper a simple phrase and they may never understand a word again.","Wasan Techawibulchai","5eed9f95baa449c8b3a039d4be17197a","Black","Green","Trait Pack 1","",""
"","Feat","Stormstruck","","","","","","","","","","","","Passive - Trait","At the start of your first turn, put three {Sparks} beneath {Stormstruck}. Once per turn, you may expend [n] to add a {Spark} beneath {Stormstruck} to your hand.","The Pantheon blesses you.","Thomas Dumey","f04b7a6eaa9548629fb4cba842192619","Red","Blue","Trait Pack 1","","b50134462a934ecd80d2736565c0b6df"
"17","Feat","Blood Hunger","","","","","","","","","","","","Passive - Trait","At the end of your turn, deal 2 damage to yourself. After you resolve your second {Attack} card during your turn, flip {Blood Hunger}.","The full moon rises. The beast inside returns.","Wasan Techawibulchai","57bc59746b51403b8f61d232dad16e33","Red","Green","Trait Pack 1","","4d1bf263c79d426a9cfe67695f6ada58"
"19","Feat","Lightning Spear","","-","2","2","+","2","","","","Silence","Disarm","Ability Attack - Trait","{Charged} [charge] [charge] Deal 5 damage to target enemy. {Stun} them. <(They lose a resource of their choice.)>","The rolling thunder heralds doom for your foes. The Stormfront Legion has arrived.","Wasan Techawibulchai","21ef519d498e4430aa43c0520b065ae2","Red","Gray","Trait Pack 1","",""
"20","Feat","Three Wishes","","-","1","1","+","2","","","","Silence","","Ability - Trait","{Charged} [charge] [charge] [charge] Choose one you haven't chosen yet: - Gain [n]. - Gain one more [p]. - Heal yourself 3 HP. - Return target {Attached} card to its owner's hand. - Search your deck for a card, then shuffle and put it on top.","","Dharm Kalsa","fea7846b8b2c4352ac10033013d79da2","Blue","Green","Trait Pack 1","",""
"21","Feat","Mark","","-","1","1","-","3","","","","","Disarm","Debuff Buff - Trait","{Attach} to target opponent until you target anything else. At the start of your turn, gain [n][mi].","He thought he could escape. But no-one escapes the Medjays.","Dharm Kalsa","5000493978ba463ab100aaf1f1db5d3f","Blue","Gray","Trait Pack 1","",""
"22","Feat","Tricks and Toys","","","","","","","","","","","","Passive - Trait","After an opponent enters {Terrain} for the first time during a turn, {Slow 1} [o] them.","When the Marauders come for your spoils, it's the easiest way to lose them.","János Brumár","b0cf5ea2656246d683a7fa063862b40c","Green","Gray","Trait Pack 1","",""
"23","Feat","Dilettante","","","","","","","","","","","","Passive - Trait","You may include an additional {Class} in your deck, but you can't include more than a single copy of any {Class} card.","You explore the endless metropolis of Alta, never settling for one life alone.","Thomas Dumey","a7bdc88fd2fd417b817b743e52a25368","","","Trait Pack 1","",""
"","Feat","Patient","","","","","","","","","","","","Passive - Trait","You don't lose [n] at the end of your turn, but your max [n] is reduced by two. <(Normally, the max is 5.)>","It can be boring, dangerous and thankless. But you always get what you want.","Wasan Techawibulchai","836f2c7a6a3e4644bb96cfe9d275c787","Blue","Blue","S2 Make a Trait","",""
"","Feat","Wanderlust","","","","","","","","","","","","Passive - Trait","At the end of your turn, if you've visited every corner of the battlefield, flip {Wanderlust}.","This realm is beyond imagination. All its lands are worthy of venture.","Wasan Techawibulchai","96bd1d59ec2a45b29c4d6b421d29c181","Green","Green","S2 Make a Trait","","481a862f969945bb9bc42f70939d6112"
"","Feat","Loot","","-","1","1","+","1","","","","Silence","","Ability - Trait","{Stun} target opponent, then look at the top three cards of their deck. You may expend [n] to {Reveal} and put an {Ability} card from among them into your hand. Put the rest into their discard.","The first mistake is thinking you've escaped.","Wasan Techawibulchai","52af15f83b9c44198a597833c5195703","Gray","Gray","S2 Make a Trait","",""
"","Feat","Black Death","","","","","","","","","","","","Passive - Trait","After you {Poison} an opponent, they put that many cards from their deck into their discard.","You do not stay to see the results. They are too grisly even for you.","Anderton Oliveira","bf64491021d9401fbe876b3ddac92f21","Black","","S3","",""
"","Feat","Moonshine","","-","1","1","+","","","","","Silence","Disarm","Ability Debuff - Trait","{Charged} [charge] [charge] [charge] [charge] [charge] Heal yourself 4 HP. {Poison} [p] yourself.","It's not the best liquor you've had. Actually, it's definitely the worst.","Wasan Techawibulchai","c90a2fcf141b45d3a7ddada8f2e64ac2","Black","","S3","",""
"","Feat","Insult","","","0","2","-","2","","","","Silence","Disarm","Ability Debuff - Trait","{Charged} [charge] [charge] {Silence 2} [i] target opponent. Then, {Stun} them. <(They lose a resource of their choice.)>","""Yer a rot-gut stinker, ye know that?!""","Anderton Oliveira","0327ee39d56745c097027959e04f00f7","Black","","S3","",""
"","Feat","Lucky Coin","","-","1","1","+","","","","","Silence","Disarm","Ability Buff - Trait","Flip {Luck} [lu] from the supply and call {Clover} [cl] or {Rooster} [ro]. If you win the flip, gain {Luck} [lu] that is guaranteed to flip that result.","You make your own luck.","Wojciech Depczyński","767817d2f38c46d5b51ff3378cad3ef5","Black","","S3","",""
"","Feat","Upper Hand","","","","","","","","","","","","Passive - Trait","After you successfully {Attack} an opponent, if they then have less HP than you, gain [n]. {Upper Hand} may trigger once per turn.","You're not one to ignore a good opportunity.","Wojciech Depczyński","900ccd335701459b8013bb7b694fb8af","Black","","S3","",""
"","Feat","Dastardly","","","","","","","","","","","","Passive - Trait","After you {Stun} an opponent, if they then have two or fewer {Resources}, deal 1 damage to them.","Most mules have more honor than you.","Gustavo Guschch","e194505d99a64f789e3ecda4d3ee2bbb","Black","Black","S3","",""
